Lead_ID,Lead_Source,Region,Industry,Company_Size,Sales_Agent,Number_of_Calls,Number_of_Emails,Last_Interaction_Days,Contacted,Response,Converted,Deal_Value,Date_Created
LEAD_0001,LinkedIn,East,Finance,Medium,Priya,3.0,21.0,140,Yes,No Response,0,0.0,2025-02-20
LEAD_0002,LinkedIn,North,Finance,Medium,Vikram,19.0,0.0,144,Yes,No Response,0,0.0,2025-10-12
LEAD_0003,Email Campaign,West,Finance,Enterprise,Vikram,8.0,25.0,2,Yes,No Response,0,0.0,2024-11-02
LEAD_0004,Website,South,Finance,Large,Amit,2.0,12.0,25,No,Negative,0,0.0,2025-02-21
LEAD_0005,LinkedIn,West,Education,Small,Sneha,2.0,17.0,76,No,No Response,0,0.0,2025-06-21
LEAD_0006,LinkedIn,North,Finance,Large,Amit,7.0,27.0,26,No,Negative,0,0.0,2025-02-28
LEAD_0007,Website,South,Healthcare,Large,Priya,8.0,22.0,175,Yes,No Response,0,0.0,2024-09-10
LEAD_0008,Email Campaign,South,Finance,Enterprise,Sneha,8.0,29.0,164,Yes,No Response,0,0.0,2024-06-02
LEAD_0009,LinkedIn,South,Technology,Large,Sneha,8.0,2.0,55,No,Positive,0,0.0,2025-12-18
LEAD_0010,Referral,South,Healthcare,Medium,Priya,17.0,17.0,68,No,No Response,1,62366.63,2025-04-24
LEAD_0011,Cold Call,South,Education,Enterprise,Amit,1.0,27.0,29,Yes,No Response,0,0.0,2026-03-25
LEAD_0012,Referral,Central,Technology,Enterprise,Sneha,19.0,14.0,136,No,No Response,0,0.0,2024-10-19
LEAD_0013,LinkedIn,Central,Healthcare,Large,Amit,9.0,13.0,41,No,Positive,1,6664.75,2024-06-08
LEAD_0014,Website,Central,Finance,Small,Neha,9.0,26.0,164,Yes,Positive,1,131998.68,2025-06-12
LEAD_0015,Cold Call,Central,Education,Small,Vikram,10.0,15.0,5,Yes,Negative,0,0.0,2025-12-30
LEAD_0016,Website,South,Technology,Medium,Vikram,2.0,2.0,125,Yes,No Response,1,125591.5,2024-05-19
LEAD_0017,Referral,Central,Finance,Large,Vikram,19.0,13.0,55,Yes,No Response,1,23616.76,2025-06-04
LEAD_0018,Website,West,Education,Enterprise,Amit,7.0,7.0,17,No,Positive,0,0.0,2025-12-05
LEAD_0019,Cold Call,Central,Finance,Small,Amit,20.0,1.0,59,Yes,Positive,0,0.0,2025-07-08
LEAD_0020,Cold Call,East,Retail,Medium,Vikram,4.0,23.0,147,No,Positive,1,15274.32,2026-05-05
LEAD_0021,Cold Call,North,Technology,Enterprise,Rahul,13.0,13.0,120,Yes,No Response,1,122087.06,2026-02-20
LEAD_0022,LinkedIn,West,Healthcare,Small,Priya,6.0,6.0,138,No,Positive,1,98696.06,2024-10-25
LEAD_0023,Website,West,Finance,Small,Sneha,17.0,3.0,13,Yes,Positive,0,0.0,2026-04-20
LEAD_0024,Cold Call,West,Retail,Enterprise,Priya,12.0,28.0,16,Yes,,1,128060.88,2025-04-06
LEAD_0025,Referral,East,Retail,Large,Sneha,17.0,21.0,125,Yes,Positive,0,0.0,2025-02-17
LEAD_0026,LinkedIn,Central,Education,Small,Neha,10.0,1.0,13,No,No Response,0,0.0,2024-11-07
LEAD_0027,LinkedIn,Central,Technology,Medium,Amit,19.0,2.0,173,Yes,Negative,1,82013.29,2024-10-21
