Lead_ID,Lead_Source,Region,Industry,Company_Size,Sales_Agent,Number_of_Calls,Number_of_Emails,Last_Interaction_Days,Contacted,Response,Converted,Deal_Value,Date_Created,Engagement_Score,Recency,Lead_Age_Days,Conversion_Probability,Lead_Score,Recommendation
LEAD_0001,LinkedIn,East,Finance,Medium,Priya,3.0,21.0,140,Yes,No Response,0,0.0,2025-02-20,37.5,Cold,440,0.38209908994602,38.21,Send Follow-up Email
LEAD_0002,LinkedIn,North,Finance,Medium,Vikram,19.0,0.0,144,Yes,No Response,0,0.0,2025-10-12,38.0,Cold,206,0.337692388379535,33.77,Send Follow-up Email
LEAD_0003,Email Campaign,West,Finance,Enterprise,Vikram,8.0,25.0,2,Yes,No Response,0,0.0,2024-11-02,53.5,Hot,550,0.31270339793548924,31.27,Low Priority - Nurture
LEAD_0004,Website,South,Finance,Large,Amit,2.0,12.0,25,No,Negative,0,0.0,2025-02-21,22.0,Hot,439,0.396979851955251,39.7,Send Follow-up Email
LEAD_0005,LinkedIn,West,Education,Small,Sneha,2.0,17.0,76,No,No Response,0,0.0,2025-06-21,29.5,Warm,319,0.3480966817358402,34.81,Send Follow-up Email
LEAD_0006,LinkedIn,North,Finance,Large,Amit,7.0,27.0,26,No,Negative,0,0.0,2025-02-28,54.5,Hot,432,0.36281937975173667,36.28,Send Follow-up Email
LEAD_0007,Website,South,Healthcare,Large,Priya,8.0,22.0,175,Yes,No Response,0,0.0,2024-09-10,49.0,Cold,603,0.3789397896090283,37.89,Send Follow-up Email
LEAD_0008,Email Campaign,South,Finance,Enterprise,Sneha,8.0,29.0,164,Yes,No Response,0,0.0,2024-06-02,59.5,Cold,703,0.31434356057527246,31.43,Low Priority - Nurture
LEAD_0009,LinkedIn,South,Technology,Large,Sneha,8.0,2.0,55,No,Positive,0,0.0,2025-12-18,19.0,Warm,139,0.34601595622448733,34.6,Send Follow-up Email
LEAD_0010,Referral,South,Healthcare,Medium,Priya,17.0,17.0,68,No,No Response,1,62366.63,2025-04-24,59.5,Warm,377,0.3704128506005763,37.04,Send Follow-up Email
